Matricula,Data_Inicio,Hora_Inicio,Cod_Jogo,Nivel_Jogo,Fase_Jogo,Etapa_Jogo,Tipo_AEEJ,Cod_AEEJ,AEEJ_1,AEEJ_2,AEEJ_3,N_Sequencial,Data_Termino,Hora_Termino,Arquivo_Imagem
3434324,2017-10-24,15:17,123456,1,1,1,1,932,0,0,0,1,2017-10-24,15:17,
3434324,2017-10-24,15:17,123456,1,1,1,1,932,699,268,2,2,2017-10-24,15:17,
3434324,2017-10-24,15:17,123456,1,1,1,1,932,699,767,1,3,2017-10-24,15:17,
3434324,2017-10-24,15:17,123456,1,1,1,1,932,699,268,2,4,2017-10-24,15:17,
3434324,2017-10-24,15:17,123456,1,1,1,1,932,699,767,1,5,2017-10-24,15:17,
3434324,2017-10-24,15:17,123456,1,1,1,1,932,855,767,1,6,2017-10-24,15:17,
3434324,2017-10-24,15:17,123456,1,1,1,1,932,699,767,1,7,2017-10-24,15:17,
3434324,2017-10-24,15:17,123456,1,1,1,1,932,435,177,4,8,2017-10-24,15:17,
3434324,2017-10-24,15:17,123456,1,1,1,1,932,611,759,1,9,2017-10-24,15:17,
3434324,2017-10-24,15:17,123456,1,1,1,1,932,434,766,1,10,2017-10-24,15:17,
3434324,2017-10-24,15:17,123456,1,1,1,1,932,641,332,1,11,2017-10-24,15:17,
3434324,2017-10-24,15:17,123456,1,1,1,1,932,435,177,1,12,2017-10-24,15:17,
3434324,2017-10-24,15:17,123456,1,1,1,1,932,693,320,2,13,2017-10-24,15:17,
3434324,2017-10-24,15:17,123456,1,1,1,1,932,500,219,2,14,2017-10-24,15:17,
3434324,2017-10-24,15:17,123456,1,1,1,1,932,726,260,17,15,2017-10-24,15:17,
3434324,2017-10-24,15:17,123456,1,1,1,1,932,572,331,2,16,2017-10-24,15:17,
3434324,2017-10-24,15:17,123456,1,1,1,1,932,572,767,1,17,2017-10-24,15:17,
